Store,DayOfWeek,Sales,Open,Promo,StateHoliday,SchoolHoliday,Promo2,Month,Customers_binned,CompetitionDistance_binned
457,3,7651,1,1,0,0,1,12,"(534,672]","(11825,13550]"
505,4,5221,1,1,0,0,1,3,"(672,799]","(255,11745]"
439,1,10117,1,1,0,1,0,7,"(932,1136]","(255,11745]"
395,6,2395,1,0,0,0,0,11,"(195,427]","(255,11745]"
237,5,3369,1,0,0,1,0,7,"(427,534]","(255,11745]"
552,7,0,0,0,0,0,1,11,"(0,195]","(255,11745]"
138,1,5804,1,0,0,1,0,10,"(534,672]","(22370,27070]"
846,1,12680,1,1,0,1,1,8,"(932,1136]","(255,11745]"
296,5,7707,1,1,0,0,1,11,"(799,932]","(255,11745]"
643,2,6756,1,0,0,1,1,7,"(799,932]","(35,245]"
406,4,4709,1,1,0,0,1,2,"(195,427]","(255,11745]"
906,7,0,0,0,0,1,0,8,"(0,195]","(35,245]"
576,6,5423,1,0,0,0,0,8,"(799,932]","(35,245]"
346,7,0,0,0,0,0,0,1,"(0,195]","(255,11745]"
752,1,5583,1,0,0,0,1,1,"(427,534]","(255,11745]"
36,5,8966,1,0,0,1,1,5,"(932,1136]","(255,11745]"
263,6,4033,1,0,0,0,1,4,"(195,427]","(255,11745]"
485,4,4966,1,1,0,0,1,7,"(195,427]","(255,11745]"
623,3,6406,1,0,0,1,1,8,"(672,799]","(255,11745]"
997,3,5331,1,1,0,0,1,11,"(195,427]","(255,11745]"
334,3,4156,1,0,0,0,1,4,"(427,534]","(255,11745]"
103,6,4397,1,0,0,0,0,2,"(195,427]","(255,11745]"
480,6,2329,1,0,0,0,0,8,"(195,427]","(255,11745]"
1105,5,0,0,1,2,1,1,3,"(0,195]","(255,11745]"
1094,7,0,0,0,0,0,1,5,"(0,195]","(255,11745]"
1089,2,7954,1,0,0,0,0,6,"(799,932]","(255,11745]"
831,1,9700,1,0,0,0,0,1,"(1136,1492]","(255,11745]"
898,1,9516,1,1,0,0,0,9,"(932,1136]","(15155,22370]"
686,4,8972,1,1,0,0,0,11,"(932,1136]","(15155,22370]"
291,1,14021,1,1,0,0,0,10,"(1136,1492]",
706,1,4319,1,0,0,0,1,10,"(427,534]","(255,11745]"
123,3,24549,1,0,0,0,0,9,"(2006,4510]","(15155,22370]"
909,2,13182,1,1,0,0,1,6,"(1136,1492]","(255,11745]"
