Store,DayOfWeek,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,CompetitionDistance,Promo2,Month_binned
457,3,7651,571,1,1,0,0,13140.0,1,"(9,12]"
505,4,5221,675,1,1,0,0,350.0,1,"(0,3]"
439,1,10117,1006,1,1,0,1,1350.0,0,"(6,9]"
395,6,2395,347,1,0,0,0,3620.0,0,"(9,12]"
237,5,3369,479,1,0,0,1,1420.0,0,"(6,9]"
552,7,0,0,0,0,0,0,4260.0,1,"(9,12]"
138,1,5804,658,1,0,0,1,25360.0,0,"(9,12]"
846,1,12680,1049,1,1,0,1,8860.0,1,"(6,9]"
296,5,7707,834,1,1,0,0,9580.0,1,"(9,12]"
643,2,6756,922,1,0,0,1,230.0,1,"(6,9]"
406,4,4709,389,1,1,0,0,8240.0,1,"(0,3]"
906,7,0,0,0,0,0,1,90.0,0,"(6,9]"
576,6,5423,897,1,0,0,0,50.0,0,"(6,9]"
346,7,0,0,0,0,0,0,8090.0,0,"(0,3]"
752,1,5583,518,1,0,0,0,970.0,1,"(0,3]"
36,5,8966,1030,1,0,0,1,540.0,1,"(3,6]"
263,6,4033,416,1,0,0,0,1140.0,1,"(3,6]"
485,4,4966,399,1,1,0,0,3270.0,1,"(6,9]"
623,3,6406,708,1,0,0,1,4080.0,1,"(6,9]"
997,3,5331,383,1,1,0,0,5840.0,1,"(9,12]"
334,3,4156,495,1,0,0,0,4040.0,1,"(3,6]"
103,6,4397,403,1,0,0,0,5210.0,0,"(0,3]"
480,6,2329,320,1,0,0,0,300.0,0,"(6,9]"
1105,5,0,0,0,1,2,1,330.0,1,"(0,3]"
1094,7,0,0,0,0,0,0,2380.0,1,"(3,6]"
1089,2,7954,846,1,0,0,0,5220.0,0,"(3,6]"
831,1,9700,1370,1,0,0,0,800.0,0,"(0,3]"
898,1,9516,951,1,1,0,0,18540.0,0,"(6,9]"
686,4,8972,998,1,1,0,0,20050.0,0,"(9,12]"
291,1,14021,1309,1,1,0,0,,0,"(9,12]"
706,1,4319,430,1,0,0,0,7830.0,1,"(9,12]"
123,3,24549,2011,1,0,0,0,16760.0,0,"(6,9]"
909,2,13182,1175,1,1,0,0,1680.0,1,"(3,6]"
1084,2,7000,839,1,1,0,0,190.0,1,"(9,12]"
682,5,11309,1839,1,0,0,0,150.0,0,"(9,12]"
363,4,10070,1262,1,1,0,1,250.0,0,"(0,3]"
801,6,4068,411,1,0,0,0,48330.0,0,"(3,6]"
705,3,9537,1092,1,1,0,0,4140.0,1,"(0,3]"
519,7,0,0,0,0,0,0,2510.0,1,"(6,9]"
432,6,6412,814,1,0,0,0,810.0,0,"(3,6]"
440,6,3163,376,1,0,0,0,3900.0,1,"(6,9]"
715,7,0,0,0,0,0,0,14810.0,0,"(6,9]"
455,2,6503,413,1,0,0,1,7660.0,0,"(9,12]"
846,2,9439,996,1,0,0,1,8860.0,1,"(3,6]"
555,1,9587,750,1,1,0,0,1560.0,1,"(9,12]"
