Store,DayOfWeek,Sales,Open,Promo,StateHoliday,SchoolHoliday,Promo2,Month,Customers_binned,CompetitionDistance_binned
457,3,7651,1,1,0,0,1,12,"(451,902]","(7604,15188]"
505,4,5221,1,1,0,0,1,3,"(451,902]","(20,7604]"
439,1,10117,1,1,0,1,0,7,"(902,1353]","(20,7604]"
395,6,2395,1,0,0,0,0,11,"(0,451]","(20,7604]"
237,5,3369,1,0,0,1,0,7,"(451,902]","(20,7604]"
552,7,0,0,0,0,0,1,11,,"(20,7604]"
138,1,5804,1,0,0,1,0,10,"(451,902]","(22772,30356]"
846,1,12680,1,1,0,1,1,8,"(902,1353]","(7604,15188]"
296,5,7707,1,1,0,0,1,11,"(451,902]","(7604,15188]"
643,2,6756,1,0,0,1,1,7,"(902,1353]","(20,7604]"
406,4,4709,1,1,0,0,1,2,"(0,451]","(7604,15188]"
906,7,0,0,0,0,1,0,8,,"(20,7604]"
576,6,5423,1,0,0,0,0,8,"(451,902]","(20,7604]"
346,7,0,0,0,0,0,0,1,,"(7604,15188]"
752,1,5583,1,0,0,0,1,1,"(451,902]","(20,7604]"
36,5,8966,1,0,0,1,1,5,"(902,1353]","(20,7604]"
263,6,4033,1,0,0,0,1,4,"(0,451]","(20,7604]"
485,4,4966,1,1,0,0,1,7,"(0,451]","(20,7604]"
623,3,6406,1,0,0,1,1,8,"(451,902]","(20,7604]"
997,3,5331,1,1,0,0,1,11,"(0,451]","(20,7604]"
334,3,4156,1,0,0,0,1,4,"(451,902]","(20,7604]"
103,6,4397,1,0,0,0,0,2,"(0,451]","(20,7604]"
480,6,2329,1,0,0,0,0,8,"(0,451]","(20,7604]"
1105,5,0,0,1,2,1,1,3,,"(20,7604]"
1094,7,0,0,0,0,0,1,5,,"(20,7604]"
1089,2,7954,1,0,0,0,0,6,"(451,902]","(20,7604]"
831,1,9700,1,0,0,0,0,1,"(1353,1804]","(20,7604]"
898,1,9516,1,1,0,0,0,9,"(902,1353]","(15188,22772]"
686,4,8972,1,1,0,0,0,11,"(902,1353]","(15188,22772]"
291,1,14021,1,1,0,0,0,10,"(902,1353]",
706,1,4319,1,0,0,0,1,10,"(0,451]","(7604,15188]"
123,3,24549,1,0,0,0,0,9,"(1804,2255]","(15188,22772]"
909,2,13182,1,1,0,0,1,6,"(902,1353]","(20,7604]"
1084,2,7000,1,1,0,0,1,12,"(451,902]","(20,7604]"
682,5,11309,1,0,0,0,0,10,"(1804,2255]","(20,7604]"
363,4,10070,1,1,0,1,0,3,"(902,1353]","(20,7604]"
801,6,4068,1,0,0,0,0,6,"(0,451]","(45524,53108]"
705,3,9537,1,1,0,0,1,3,"(902,1353]","(20,7604]"
519,7,0,0,0,0,0,1,9,,"(20,7604]"
432,6,6412,1,0,0,0,0,5,"(451,902]","(20,7604]"
440,6,3163,1,0,0,0,1,7,"(0,451]","(20,7604]"
715,7,0,0,0,0,0,0,7,,"(7604,15188]"
455,2,6503,1,0,0,1,0,12,"(0,451]","(7604,15188]"
846,2,9439,1,0,0,1,1,6,"(902,1353]","(7604,15188]"
555,1,9587,1,1,0,0,1,12,"(451,902]","(20,7604]"
176,6,3566,1,0,0,0,0,3,"(0,451]","(20,7604]"
595,7,0,0,0,0,0,0,9,,"(20,7604]"
744,1,10068,1,1,0,1,1,6,"(902,1353]","(20,7604]"
837,1,6112,1,1,0,0,0,6,"(451,902]","(7604,15188]"
39,4,0,0,0,1,0,1,5,,"(20,7604]"
69,5,9311,1,1,0,0,1,5,"(902,1353]","(20,7604]"
446,3,5679,1,1,0,0,1,11,"(451,902]","(20,7604]"
809,7,0,0,0,0,0,0,8,,"(7604,15188]"
708,4,5748,1,1,0,0,1,1,"(451,902]","(7604,15188]"
391,3,6725,1,1,0,0,1,12,"(451,902]","(20,7604]"
1080,2,10967,1,1,0,1,1,9,"(451,902]","(20,7604]"
445,5,7173,1,0,0,0,0,2,"(902,1353]","(20,7604]"
921,5,0,0,1,2,1,0,4,,"(20,7604]"
610,4,5327,1,1,0,0,0,4,"(451,902]","(20,7604]"
1100,2,6954,1,1,0,1,1,8,"(451,902]","(20,7604]"
112,1,6249,1,0,0,0,0,5,"(451,902]","(20,7604]"
777,1,3396,1,0,0,0,1,3,"(0,451]","(7604,15188]"
821,2,8490,1,1,0,0,0,4,"(451,902]","(20,7604]"
537,4,6718,1,1,0,0,1,5,"(451,902]","(20,7604]"
1082,6,5004,1,0,0,0,0,4,"(451,902]","(20,7604]"
