Store,DayOfWeek,Month,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,Promo2,CompetitionDistance_binned
457,3,12,7651,571,1,1,0,0,1,"(13135,13155]"
505,4,3,5221,675,1,1,0,0,1,"(345,355]"
439,1,7,10117,1006,1,1,0,1,0,"(1345,1355]"
395,6,11,2395,347,1,0,0,0,0,"(3605,3630]"
237,5,7,3369,479,1,0,0,1,0,"(1415,1425]"
552,7,11,0,0,0,0,0,0,1,"(4245,4265]"
138,1,10,5804,658,1,0,0,1,0,"(25065,25395]"
846,1,8,12680,1049,1,1,0,1,1,"(8820,8870]"
296,5,11,7707,834,1,1,0,0,1,"(9570,9605]"
643,2,7,6756,922,1,0,0,1,1,"(225,235]"
406,4,2,4709,389,1,1,0,0,1,"(8205,8255]"
906,7,8,0,0,0,0,0,1,0,"(85,95]"
576,6,8,5423,897,1,0,0,0,0,"(45,55]"
346,7,1,0,0,0,0,0,0,0,"(8085,8125]"
752,1,1,5583,518,1,0,0,0,1,"(965,975]"
36,5,5,8966,1030,1,0,0,1,1,"(535,545]"
263,6,4,4033,416,1,0,0,0,1,"(1135,1145]"
485,4,7,4966,399,1,1,0,0,1,"(3260,3280]"
623,3,8,6406,708,1,0,0,1,1,"(4070,4095]"
997,3,11,5331,383,1,1,0,0,1,"(5835,5880]"
334,3,4,4156,495,1,0,0,0,1,"(4035,4050]"
103,6,2,4397,403,1,0,0,0,0,"(5170,5240]"
480,6,8,2329,320,1,0,0,0,0,"(295,305]"
1105,5,3,0,0,0,1,2,1,1,"(325,335]"
1094,7,5,0,0,0,0,0,0,1,"(2375,2385]"
1089,2,6,7954,846,1,0,0,0,0,"(5170,5240]"
831,1,1,9700,1370,1,0,0,0,0,"(790,805]"
898,1,9,9516,951,1,1,0,0,0,"(18265,18575]"
686,4,11,8972,998,1,1,0,0,0,"(20005,20325]"
291,1,10,14021,1309,1,1,0,0,0,
706,1,10,4319,430,1,0,0,0,1,"(7805,7845]"
123,3,9,24549,2011,1,0,0,0,0,"(16725,16865]"
909,2,6,13182,1175,1,1,0,0,1,"(1660,1685]"
1084,2,12,7000,839,1,1,0,0,1,"(185,195]"
682,5,10,11309,1839,1,0,0,0,0,"(145,155]"
363,4,3,10070,1262,1,1,0,1,0,"(245,255]"
801,6,6,4068,411,1,0,0,0,0,"(47460,53295]"
705,3,3,9537,1092,1,1,0,0,1,"(4135,4145]"
519,7,9,0,0,0,0,0,0,1,"(2500,2520]"
432,6,5,6412,814,1,0,0,0,0,"(805,825]"
440,6,7,3163,376,1,0,0,0,1,"(3895,3905]"
715,7,7,0,0,0,0,0,0,0,"(14715,14885]"
455,2,12,6503,413,1,0,0,1,0,"(7605,7670]"
846,2,6,9439,996,1,0,0,1,1,"(8820,8870]"
555,1,12,9587,750,1,1,0,0,1,"(1550,1575]"
176,6,3,3566,440,1,0,0,0,0,"(3765,3775]"
595,7,9,0,0,0,0,0,0,0,"(1125,1135]"
744,1,6,10068,949,1,1,0,1,1,"(1365,1380]"
837,1,6,6112,673,1,1,0,0,0,"(14585,14610]"
39,4,5,0,0,0,0,1,0,1,"(255,265]"
69,5,5,9311,1186,1,1,0,0,1,"(1125,1135]"
446,3,11,5679,732,1,1,0,0,1,"(335,345]"
809,7,8,0,0,0,0,0,0,0,"(12735,12895]"
708,4,1,5748,529,1,1,0,0,1,"(11435,11745]"
391,3,12,6725,692,1,1,0,0,1,"(455,465]"
1080,2,9,10967,829,1,1,0,1,1,"(2400,2425]"
445,5,2,7173,1106,1,0,0,0,0,"(235,245]"
921,5,4,0,0,0,1,2,1,0,"(835,845]"
610,4,4,5327,687,1,1,0,0,0,"(655,665]"
1100,2,8,6954,815,1,1,0,1,1,"(535,545]"
112,1,5,6249,725,1,0,0,0,0,"(1625,1645]"
777,1,3,3396,314,1,0,0,0,1,"(8205,8255]"
821,2,4,8490,863,1,1,0,0,0,"(1695,1705]"
537,4,5,6718,682,1,1,0,0,1,"(595,605]"
