Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,CompetitionDistance,Promo2
457,3,2013-12-18,7651,571,1,1,0,0,13140.0,1
505,4,2013-03-21,5221,675,1,1,0,0,350.0,1
439,1,2015-07-27,10117,1006,1,1,0,1,1350.0,0
395,6,2013-11-23,2395,347,1,0,0,0,3620.0,0
237,5,2015-07-24,3369,479,1,0,0,1,1420.0,0
552,7,2014-11-23,0,0,0,0,0,0,4260.0,1
138,1,2013-10-28,5804,658,1,0,0,1,25360.0,0
846,1,2013-08-12,12680,1049,1,1,0,1,8860.0,1
296,5,2014-11-14,7707,834,1,1,0,0,9580.0,1
643,2,2015-07-21,6756,922,1,0,0,1,230.0,1
406,4,2013-02-07,4709,389,1,1,0,0,8240.0,1
906,7,2014-08-17,0,0,0,0,0,1,90.0,0
576,6,2014-08-23,5423,897,1,0,0,0,50.0,0
346,7,2014-01-26,0,0,0,0,0,0,8090.0,0
752,1,2013-01-28,5583,518,1,0,0,0,970.0,1
36,5,2015-05-29,8966,1030,1,0,0,1,540.0,1
263,6,2014-04-26,4033,416,1,0,0,0,1140.0,1
485,4,2015-07-02,4966,399,1,1,0,0,3270.0,1
623,3,2013-08-07,6406,708,1,0,0,1,4080.0,1
997,3,2014-11-12,5331,383,1,1,0,0,5840.0,1
334,3,2013-04-17,4156,495,1,0,0,0,4040.0,1
103,6,2015-02-21,4397,403,1,0,0,0,5210.0,0
480,6,2013-08-17,2329,320,1,0,0,0,300.0,0
1105,5,2013-03-29,0,0,0,1,2,1,330.0,1
1094,7,2014-05-25,0,0,0,0,0,0,2380.0,1
1089,2,2013-06-25,7954,846,1,0,0,0,5220.0,0
831,1,2013-01-14,9700,1370,1,0,0,0,800.0,0
898,1,2014-09-29,9516,951,1,1,0,0,18540.0,0
686,4,2014-11-27,8972,998,1,1,0,0,20050.0,0
291,1,2013-10-07,14021,1309,1,1,0,0,,0
706,1,2013-10-14,4319,430,1,0,0,0,7830.0,1
123,3,2014-09-10,24549,2011,1,0,0,0,16760.0,0
909,2,2014-06-03,13182,1175,1,1,0,0,1680.0,1
1084,2,2014-12-02,7000,839,1,1,0,0,190.0,1
682,5,2014-10-17,11309,1839,1,0,0,0,150.0,0
363,4,2013-03-28,10070,1262,1,1,0,1,250.0,0
801,6,2015-06-13,4068,411,1,0,0,0,48330.0,0
