Store,DayOfWeek,Month,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,CompetitionDistance,Promo2
457,3,12,7651,571,1,1,0,0,13140.0,1
505,4,3,5221,675,1,1,0,0,350.0,1
439,1,7,10117,1006,1,1,0,1,1350.0,0
395,6,11,2395,347,1,0,0,0,3620.0,0
237,5,7,3369,479,1,0,0,1,1420.0,0
552,7,11,0,0,0,0,0,0,4260.0,1
138,1,10,5804,658,1,0,0,1,25360.0,0
846,1,8,12680,1049,1,1,0,1,8860.0,1
296,5,11,7707,834,1,1,0,0,9580.0,1
643,2,7,6756,922,1,0,0,1,230.0,1
406,4,2,4709,389,1,1,0,0,8240.0,1
906,7,8,0,0,0,0,0,1,90.0,0
576,6,8,5423,897,1,0,0,0,50.0,0
346,7,1,0,0,0,0,0,0,8090.0,0
752,1,1,5583,518,1,0,0,0,970.0,1
36,5,5,8966,1030,1,0,0,1,540.0,1
263,6,4,4033,416,1,0,0,0,1140.0,1
485,4,7,4966,399,1,1,0,0,3270.0,1
623,3,8,6406,708,1,0,0,1,4080.0,1
997,3,11,5331,383,1,1,0,0,5840.0,1
334,3,4,4156,495,1,0,0,0,4040.0,1
103,6,2,4397,403,1,0,0,0,5210.0,0
480,6,8,2329,320,1,0,0,0,300.0,0
1105,5,3,0,0,0,1,2,1,330.0,1
1094,7,5,0,0,0,0,0,0,2380.0,1
1089,2,6,7954,846,1,0,0,0,5220.0,0
831,1,1,9700,1370,1,0,0,0,800.0,0
898,1,9,9516,951,1,1,0,0,18540.0,0
686,4,11,8972,998,1,1,0,0,20050.0,0
291,1,10,14021,1309,1,1,0,0,,0
706,1,10,4319,430,1,0,0,0,7830.0,1
123,3,9,24549,2011,1,0,0,0,16760.0,0
909,2,6,13182,1175,1,1,0,0,1680.0,1
1084,2,12,7000,839,1,1,0,0,190.0,1
682,5,10,11309,1839,1,0,0,0,150.0,0
363,4,3,10070,1262,1,1,0,1,250.0,0
801,6,6,4068,411,1,0,0,0,48330.0,0
705,3,3,9537,1092,1,1,0,0,4140.0,1
519,7,9,0,0,0,0,0,0,2510.0,1
432,6,5,6412,814,1,0,0,0,810.0,0
440,6,7,3163,376,1,0,0,0,3900.0,1
715,7,7,0,0,0,0,0,0,14810.0,0
455,2,12,6503,413,1,0,0,1,7660.0,0
846,2,6,9439,996,1,0,0,1,8860.0,1
555,1,12,9587,750,1,1,0,0,1560.0,1
176,6,3,3566,440,1,0,0,0,3770.0,0
595,7,9,0,0,0,0,0,0,1130.0,0
744,1,6,10068,949,1,1,0,1,1370.0,1
837,1,6,6112,673,1,1,0,0,14600.0,0
39,4,5,0,0,0,0,1,0,260.0,1
69,5,5,9311,1186,1,1,0,0,1130.0,1
446,3,11,5679,732,1,1,0,0,340.0,1
809,7,8,0,0,0,0,0,0,12770.0,0
708,4,1,5748,529,1,1,0,0,11470.0,1
391,3,12,6725,692,1,1,0,0,460.0,1
1080,2,9,10967,829,1,1,0,1,2410.0,1
445,5,2,7173,1106,1,0,0,0,240.0,0
921,5,4,0,0,0,1,2,1,840.0,0
610,4,4,5327,687,1,1,0,0,660.0,0
1100,2,8,6954,815,1,1,0,1,540.0,1
112,1,5,6249,725,1,0,0,0,1630.0,0
777,1,3,3396,314,1,0,0,0,8250.0,1
821,2,4,8490,863,1,1,0,0,1700.0,0
537,4,5,6718,682,1,1,0,0,600.0,1
1082,6,4,5004,818,1,0,0,0,440.0,0
956,2,7,4231,539,1,1,0,1,2330.0,1
246,7,11,0,0,0,0,0,0,4660.0,0
795,7,7,0,0,0,0,0,0,510.0,1
898,5,6,7739,823,1,1,0,0,18540.0,0
100,4,1,8042,670,1,1,0,0,17930.0,0
164,3,11,6014,616,1,1,0,0,1160.0,1
61,3,7,5601,616,1,1,0,0,350.0,1
977,1,6,3931,445,1,0,0,0,520.0,1
106,4,8,8547,795,1,1,0,1,1390.0,0
1062,6,6,5982,599,1,0,0,0,190.0,1
506,4,3,7194,809,1,1,0,0,1850.0,1
1008,7,9,0,0,0,0,0,0,30.0,0
922,2,4,0,0,0,0,0,0,2110.0,0
16,6,2,4832,536,1,0,0,0,3270.0,0
197,4,5,7723,849,1,1,0,0,4210.0,0
1089,1,4,14407,1279,1,1,0,0,5220.0,0
959,6,10,3102,389,1,0,0,0,1060.0,0
593,5,3,8221,1136,1,0,0,0,33060.0,0
1029,2,9,7852,1005,1,1,0,0,1590.0,0
764,6,5,1551,185,1,0,0,0,26490.0,1
762,1,2,6417,554,1,1,0,0,1280.0,1
822,1,8,7492,623,1,0,0,1,410.0,1
998,1,10,3765,534,1,0,0,1,780.0,1
278,2,7,8055,804,1,1,0,1,9260.0,0
918,4,6,4655,557,1,0,0,0,18710.0,0
884,6,7,4272,430,1,0,0,0,7550.0,0
842,7,6,0,0,0,0,0,0,1200.0,0
274,7,10,5776,1316,1,0,0,0,3640.0,1
38,6,2,6155,610,1,0,0,0,1090.0,0
490,2,5,8723,1096,1,1,0,0,660.0,1
227,6,6,4074,394,1,0,0,0,2370.0,0
590,1,10,4769,372,1,0,0,0,4520.0,1
1005,6,7,4943,847,1,0,0,0,6480.0,0
322,4,9,4302,580,1,0,0,0,17500.0,1
656,3,12,3692,373,1,1,0,0,410.0,1
697,7,4,0,0,0,0,0,0,3780.0,1
1005,1,10,7644,1068,1,1,0,0,6480.0,0
1108,3,2,6187,587,1,1,0,1,540.0,0
909,5,12,11729,1070,1,1,0,0,1680.0,1
604,3,2,8000,573,1,1,0,0,10950.0,0
217,4,11,3849,565,1,0,0,0,3150.0,0
281,3,1,4431,449,1,0,0,0,6970.0,0
677,2,6,5573,510,1,0,0,0,1740.0,1
378,4,5,7424,1121,1,1,0,0,2140.0,0
540,5,7,4564,348,1,1,0,0,810.0,1
335,6,6,7788,1616,1,0,0,0,90.0,1
951,5,9,8881,774,1,1,0,0,710.0,1
1036,3,7,5252,450,1,1,0,1,9560.0,1
860,6,8,6237,770,1,0,0,0,5980.0,0
734,6,7,2930,298,1,0,0,0,220.0,1
133,3,6,5220,579,1,0,0,0,270.0,1
42,2,5,9237,1095,1,0,0,0,290.0,1
574,7,2,0,0,0,0,0,0,4400.0,0
861,6,12,4491,674,1,0,0,0,740.0,1
575,1,2,10765,799,1,1,0,1,960.0,1
324,3,10,4435,651,1,0,0,0,13140.0,1
216,6,7,5990,722,1,0,0,0,190.0,1
360,4,11,5736,682,1,0,0,0,2040.0,0
645,5,7,8726,1122,1,1,0,0,90.0,1
732,5,1,3861,442,1,1,0,0,35280.0,0
913,4,3,6092,921,1,0,0,0,280.0,0
263,6,9,4616,428,1,0,0,0,1140.0,1
527,7,7,0,0,0,0,0,0,5830.0,0
758,6,10,2635,394,1,0,0,0,19780.0,0
821,1,7,12620,1273,1,1,0,1,1700.0,0
28,4,4,5446,598,1,1,0,0,1200.0,1
390,7,7,0,0,0,0,0,0,1600.0,0
243,1,5,10144,1173,1,1,0,0,310.0,1
1068,7,6,0,0,0,0,0,0,5010.0,1
465,1,1,4414,409,1,0,0,0,10890.0,0
1063,2,7,3900,460,1,1,0,1,6250.0,0
151,2,6,5105,558,1,0,0,0,4360.0,0
965,7,2,0,0,0,0,0,0,110.0,0
809,2,3,15411,1114,1,1,0,0,12770.0,0
488,1,1,2884,324,1,0,0,0,2890.0,0
614,3,3,5404,882,1,0,0,0,1160.0,0
1028,4,9,3159,416,1,0,0,0,150.0,1
790,2,12,11490,919,1,1,0,0,9070.0,0
401,7,3,0,0,0,0,0,0,9200.0,1
1005,5,3,5544,861,1,0,0,0,6480.0,0
695,6,3,2786,280,1,0,0,0,550.0,1
135,7,3,0,0,0,0,0,0,5190.0,1
239,1,9,8485,694,1,1,0,0,610.0,0
1078,5,2,7415,581,1,1,0,0,670.0,1
483,6,6,1619,218,1,0,0,0,2310.0,1
289,5,4,5369,522,1,0,0,1,6540.0,0
363,6,4,6104,822,1,0,0,0,250.0,0
131,3,3,3357,397,1,0,0,0,920.0,0
346,4,6,5858,598,1,1,0,0,8090.0,0
1115,1,11,7704,522,1,1,0,0,5350.0,1
840,1,7,10515,1364,1,1,0,1,1070.0,0
846,1,2,6583,769,1,0,0,0,8860.0,1
234,5,5,12649,1051,1,0,0,0,4370.0,0
490,6,6,8525,1145,1,0,0,0,660.0,1
178,7,4,0,0,0,0,0,0,1710.0,0
811,4,2,4383,700,1,1,0,0,410.0,0
702,3,1,5908,446,1,1,0,0,8550.0,1
826,2,4,7726,708,1,0,0,0,7980.0,0
713,6,2,9414,1279,1,0,0,0,220.0,1
212,7,8,0,0,0,0,0,0,15050.0,0
95,7,2,0,0,0,0,0,0,1890.0,0
726,3,7,12973,1093,1,1,0,1,40540.0,0
886,2,10,4537,544,1,0,0,1,12430.0,0
152,2,8,3912,510,1,0,0,1,1780.0,0
829,3,10,5947,789,1,1,0,0,110.0,0
357,1,7,5796,858,1,0,0,1,2060.0,0
819,3,6,4793,458,1,0,0,1,720.0,0
743,5,7,3612,438,1,0,0,1,6710.0,1
80,7,3,0,0,0,0,0,0,7910.0,0
391,6,5,3011,387,1,0,0,0,460.0,1
727,1,2,4287,503,1,0,0,0,2050.0,0
295,6,7,5445,764,1,0,0,0,210.0,1
1110,1,11,5545,594,1,1,0,0,900.0,0
497,5,11,10178,1251,1,1,0,0,1610.0,0
791,2,4,7137,764,1,1,0,0,5950.0,0
37,6,8,6725,825,1,0,0,0,4230.0,0
368,1,5,15685,959,1,1,0,0,1450.0,1
